Rank,Song-Name,Artist,Album,Streams-Millions
1,Shape of You,Ed Sheeran,Division,2.11
2,One Dance,Drake featuring Wizkid and Kyla,Views,1.65
3,Closer,The Chainsmokers featuring Halsey,Collage,1.50
4,Rockstar,Post Malone featuring 21 Savage,Beerbongs and Bentleys,1.49
5,Thinking Out Loud,Ed Sheeran,Times,1.29
6,God's Plan,Drake,Scorpion,1.24
7,Lean On,Major Lazer and DJ Snake featuring M,Peace Is the Mission,1.21
8,Despacito (Remix),Luis Fonsi and Daddy Yankee featuring Justin Bieber,Vida,1.20
9,Love Yourself,Justin Bieber,Purpose,1.18
10,Havana,Camila Cabello featuring Young Thug,Camila,1182
11,Sorry,Justin Bieber,Purpose,1.16
12,Don't Let Me Down,The Chainsmokers featuring Daya,Collage,1.14
13,Starboy,The Weeknd featuring Daft Punk,Starboy,1131,
14,I Took a Pill in Ibiza (Seeb Remix),Mike Posner,At Night Alone.,1.11
15,New Rules,Dua Lipa,Dua Lipa,1.10
16,Photograph,Ed Sheeran,Times,1.08
17,Say You Won't Let Go,James Arthur,Back from the Edge,1076
18,Let Me Love You,DJ Snake featuring Justin Bieber,Encore,1.07
19,Perfect,Ed Sheeran,Division,1.06
20,HUMBLE.,Kendrick Lamar,DAMN.,1.02
